commune,district,region,province
Antanetibe,Ambohidratrimo,Analamanga,Antananarivo
Ambohipihaonana,Ambohidratrimo,Analamanga,Antananarivo
Ambato,Ambohidratrimo,Analamanga,Antananarivo
Anjanadoria,Ambohidratrimo,Analamanga,Antananarivo
Avaratsena,Ambohidratrimo,Analamanga,Antananarivo
Ankazobe,Ankazobe,Analamanga,Antananarivo
Talata Angavo,Ankazobe,Analamanga,Antananarivo
Ambohitromby,Ankazobe,Analamanga,Antananarivo
Antotohazo,Ankazobe,Analamanga,Antananarivo
Marondry,Ankazobe,Analamanga,Antananarivo
Sambaina,Manjakandriana,Analamanga,Antananarivo
Ambohibary,Manjakandriana,Analamanga,Antananarivo
Ambatomanga,Manjakandriana,Analamanga,Antananarivo
Alarobia,Manjakandriana,Analamanga,Antananarivo
Mantasoa,Manjakandriana,Analamanga,Antananarivo
Antakavana,Ankazobe,Analamanga,Antananarivo
Kiangara,Ankazobe,Analamanga,Antananarivo
Miantso,Ankazobe,Analamanga,Antananarivo
Manjakandriana,Manjakandriana,Analamanga,Antananarivo
Ambatolaona,Manjakandriana,Analamanga,Antananarivo
Fihaonana,Ankazobe,Analamanga,Antananarivo
Mahavelona,Ankazobe,Analamanga,Antananarivo
Fiadanana,Ankazobe,Analamanga,Antananarivo
Tsaramasoandro,Ankazobe,Analamanga,Antananarivo
Ambolotarakely,Ankazobe,Analamanga,Antananarivo
Ranovao,Manjakandriana,Analamanga,Antananarivo
Miadanandriana,Manjakandriana,Analamanga,Antananarivo
Nandihizana,Manjakandriana,Analamanga,Antananarivo
Anjepy,Manjakandriana,Analamanga,Antananarivo
Ambanitsena,Manjakandriana,Analamanga,Antananarivo
Ambohitrandriamanitra,Manjakandriana,Analamanga,Antananarivo
Ambatomena,Manjakandriana,Analamanga,Antananarivo
Ambohibao Sud,Manjakandriana,Analamanga,Antananarivo
Ambohitseheno,Manjakandriana,Analamanga,Antananarivo
Antsahalalina,Manjakandriana,Analamanga,Antananarivo
Ambohimahasoa,Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Ampitana,Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Ambohipo,Manandriana,Amoron'i Mania,Fianarantsoa
Anjoman'ankona,Manandriana,Amoron'i Mania,Fianarantsoa
Vinany Andakatanikely,Manandriana,Amoron'i Mania,Fianarantsoa
Ampatana Mandriankeniheny,Antsirabe I,Vakinankaratra,Antananarivo
Ampitatafika,Antanifotsy,Vakinankaratra,Antananarivo
Ambatomiady,Antanifotsy,Vakinankaratra,Antananarivo
Andranofito,Antanifotsy,Vakinankaratra,Antananarivo
Fenoarivo,Ambalavao,Matsiatra Ambony,Fianarantsoa
Sabotsy Ambohitromby,Andramasina,Analamanga,Antananarivo
Andohariana,Andramasina,Analamanga,Antananarivo
Mandrosoa,Andramasina,Analamanga,Antananarivo
Ambatofahavalo,Antananarivo Atsimondrano,Analamanga,Antananarivo
Antsenakely Andraikiba,Antsirabe I,Vakinankaratra,Antananarivo
Ankarimbelo,Ikongo,Fitovinany,Fianarantsoa
Antodinga,Ikongo,Fitovinany,Fianarantsoa
Kalafotsy,Ikongo,Fitovinany,Fianarantsoa
Antondabe,Befotaka,Atsimo-Atsinanana,Fianarantsoa
Marovitsika Sud,Befotaka,Atsimo-Atsinanana,Fianarantsoa
Antaninarenina,Befotaka,Atsimo-Atsinanana,Fianarantsoa
Ambohitrony,Manjakandriana,Analamanga,Antananarivo
Merikanjaka,Manjakandriana,Analamanga,Antananarivo
Anjoma Betoho,Manjakandriana,Analamanga,Antananarivo
Ankazondandy,Manjakandriana,Analamanga,Antananarivo
Amparatanjona,Anjozorobe,Analamanga,Antananarivo
Amboasary Nord,Anjozorobe,Analamanga,Antananarivo
Androvakely,Anjozorobe,Analamanga,Antananarivo
Ambohibary Vohilena,Anjozorobe,Analamanga,Antananarivo
Ambohimirary,Anjozorobe,Analamanga,Antananarivo
Soavinandriana,Manjakandriana,Analamanga,Antananarivo
Ambohitrolomahitsy,Manjakandriana,Analamanga,Antananarivo
Ampaneva,Manjakandriana,Analamanga,Antananarivo
Sadabe,Manjakandriana,Analamanga,Antananarivo
Anjozorobe,Anjozorobe,Analamanga,Antananarivo
Mangamila,Anjozorobe,Analamanga,Antananarivo
Ambongamarina,Anjozorobe,Analamanga,Antananarivo
Tsarasaotra,Anjozorobe,Analamanga,Antananarivo
Ambohimanarina Marovazaha,Anjozorobe,Analamanga,Antananarivo
Betatao,Anjozorobe,Analamanga,Antananarivo
Alakamisy,Anjozorobe,Analamanga,Antananarivo
Analaroa,Anjozorobe,Analamanga,Antananarivo
Antanetibe,Anjozorobe,Analamanga,Antananarivo
Belanitra,Anjozorobe,Analamanga,Antananarivo
Ambatomanoina,Anjozorobe,Analamanga,Antananarivo
Marotsipoy,Anjozorobe,Analamanga,Antananarivo
Beronono,Anjozorobe,Analamanga,Antananarivo
Andramasina,Andramasina,Analamanga,Antananarivo
Alatsinainy Bakaro,Andramasina,Analamanga,Antananarivo
Antotohazo,Andramasina,Analamanga,Antananarivo
Andoharanofotsy,Antananarivo Atsimondrano,Analamanga,Antananarivo
Ankaraobato,Antananarivo Atsimondrano,Analamanga,Antananarivo
Soalandy,Antananarivo Atsimondrano,Analamanga,Antananarivo
Antanetikely,Antananarivo Atsimondrano,Analamanga,Antananarivo
Alatsinainy Ambazaha,Antananarivo Atsimondrano,Analamanga,Antananarivo
Bemasoandro,Antananarivo Atsimondrano,Analamanga,Antananarivo
Fiombonana,Antananarivo Atsimondrano,Analamanga,Antananarivo
Itaosy,Antananarivo Atsimondrano,Analamanga,Antananarivo
Ambavahaditokana,Antananarivo Atsimondrano,Analamanga,Antananarivo
Tanjombato,Antananarivo Atsimondrano,Analamanga,Antananarivo
Anosibe Trimoloharano,Andramasina,Analamanga,Antananarivo
Ampitatafika,Antananarivo Atsimondrano,Analamanga,Antananarivo
Anosizato Andrefana,Antananarivo Atsimondrano,Analamanga,Antananarivo
Andranonahoatra,Antananarivo Atsimondrano,Analamanga,Antananarivo
Ambohidrapeto,Antananarivo Atsimondrano,Analamanga,Antananarivo
Ambohijanaka,Antananarivo Atsimondrano,Analamanga,Antananarivo
Ampahitrosy,Antananarivo Atsimondrano,Analamanga,Antananarivo
Bongatsara,Antananarivo Atsimondrano,Analamanga,Antananarivo
Androhibe,Antananarivo Atsimondrano,Analamanga,Antananarivo
Tsiafahy,Antananarivo Atsimondrano,Analamanga,Antananarivo
Ampanefy,Antananarivo Atsimondrano,Analamanga,Antananarivo
Ankadimanga,Antananarivo Atsimondrano,Analamanga,Antananarivo
Fenoarivo,Antananarivo Atsimondrano,Analamanga,Antananarivo
Alakamisy Fenoarivo,Antananarivo Atsimondrano,Analamanga,Antananarivo
Soavina,Antananarivo Atsimondrano,Analamanga,Antananarivo
Betafo,Betafo,Vakinankaratra,Antananarivo
Andranomafana,Betafo,Vakinankaratra,Antananarivo
Mandritsara,Betafo,Vakinankaratra,Antananarivo
Alakamisy Anativato,Betafo,Vakinankaratra,Antananarivo
Antsoso,Betafo,Vakinankaratra,Antananarivo
Ambalavao,Antananarivo Atsimondrano,Analamanga,Antananarivo
Soamalaza Mahatsinjo,Antsirabe I,Vakinankaratra,Antananarivo
Antsirabe Afovoany Atsinanana,Antsirabe I,Vakinankaratra,Antananarivo
Manodidina Ny Gara Ambilombe,Antsirabe I,Vakinankaratra,Antananarivo
Mahazoarivo Avarabohitra,Antsirabe I,Vakinankaratra,Antananarivo
Tritriva,Betafo,Vakinankaratra,Antananarivo
Soavina,Betafo,Vakinankaratra,Antananarivo
Manohisoa,Betafo,Vakinankaratra,Antananarivo
Ambatonikolahy,Betafo,Vakinankaratra,Antananarivo
Antohobe,Betafo,Vakinankaratra,Antananarivo
Mahaiza,Betafo,Vakinankaratra,Antananarivo
Anosiarivo Manapa,Betafo,Vakinankaratra,Antananarivo
Alakamisy Marososona,Betafo,Vakinankaratra,Antananarivo
Ambohimanambola,Betafo,Vakinankaratra,Antananarivo
Ambohimasina,Betafo,Vakinankaratra,Antananarivo
Ambohimiadana,Andramasina,Analamanga,Antananarivo
Tankafatra,Andramasina,Analamanga,Antananarivo
Alarobia Vatosola,Andramasina,Analamanga,Antananarivo
Fitsinjovana Bakaro,Andramasina,Analamanga,Antananarivo
Sabotsy Manjakavahoaka,Andramasina,Analamanga,Antananarivo
Inanantonana,Betafo,Vakinankaratra,Antananarivo
Alarobia Bemaha,Betafo,Vakinankaratra,Antananarivo
Andrembesoa,Betafo,Vakinankaratra,Antananarivo
Ambatolampy,Ambatolampy,Vakinankaratra,Antananarivo
Morarano,Ambatolampy,Vakinankaratra,Antananarivo
Ambohipihaonana,Ambatolampy,Vakinankaratra,Antananarivo
Manjakatompo,Ambatolampy,Vakinankaratra,Antananarivo
Ambatondrakalavao,Ambatolampy,Vakinankaratra,Antananarivo
Andriambilany,Ambatolampy,Vakinankaratra,Antananarivo
Belambo Firaisana,Ambatolampy,Vakinankaratra,Antananarivo
Andravola Vohipeno,Ambatolampy,Vakinankaratra,Antananarivo
Tsiafajavona Ankaratra,Ambatolampy,Vakinankaratra,Antananarivo
Ambodifarihy Fenomanana,Ambatolampy,Vakinankaratra,Antananarivo
Sabotsy Namatoana,Ambatolampy,Vakinankaratra,Antananarivo
Antanimasaka,Ambatolampy,Vakinankaratra,Antananarivo
Faratsiho,Faratsiho,Vakinankaratra,Antananarivo
Antsampanimahazo,Faratsiho,Vakinankaratra,Antananarivo
Faravohitra,Faratsiho,Vakinankaratra,Antananarivo
Ramainandro,Faratsiho,Vakinankaratra,Antananarivo
Andranomiady,Faratsiho,Vakinankaratra,Antananarivo
Andranovelona,Ambatolampy,Vakinankaratra,Antananarivo
Antanifotsy,Antanifotsy,Vakinankaratra,Antananarivo
Ambatolahy,Antanifotsy,Vakinankaratra,Antananarivo
Ambohimandroso,Antanifotsy,Vakinankaratra,Antananarivo
Ambatotsipihina,Antanifotsy,Vakinankaratra,Antananarivo
Belazao,Antsirabe II,Vakinankaratra,Antananarivo
Alakamisy,Antsirabe II,Vakinankaratra,Antananarivo
Antanimandry,Antsirabe II,Vakinankaratra,Antananarivo
Vinaninkarena,Antsirabe II,Vakinankaratra,Antananarivo
Andranomanelatra,Antsirabe II,Vakinankaratra,Antananarivo
Vinaninony Atsimo,Faratsiho,Vakinankaratra,Antananarivo
Ambohiborona,Faratsiho,Vakinankaratra,Antananarivo
Miandrarivo,Faratsiho,Vakinankaratra,Antananarivo
Valabetokana,Faratsiho,Vakinankaratra,Antananarivo
Ambano,Antsirabe II,Vakinankaratra,Antananarivo
Ambohitompoina,Antanifotsy,Vakinankaratra,Antananarivo
Belanitra,Antanifotsy,Vakinankaratra,Antananarivo
Antsahalava,Antanifotsy,Vakinankaratra,Antananarivo
Ambodiriana,Antanifotsy,Vakinankaratra,Antananarivo
Antsampandrano,Antanifotsy,Vakinankaratra,Antananarivo
Ambohidranandriana,Antsirabe II,Vakinankaratra,Antananarivo
Ambohimiarivo,Antsirabe II,Vakinankaratra,Antananarivo
Ambohitsimanova,Antsirabe II,Vakinankaratra,Antananarivo
Mangarano,Antsirabe II,Vakinankaratra,Antananarivo
Manandona,Antsirabe II,Vakinankaratra,Antananarivo
Antsoatany,Antsirabe II,Vakinankaratra,Antananarivo
Alatsinainy Ibity,Antsirabe II,Vakinankaratra,Antananarivo
Sahanivotry Manandona,Antsirabe II,Vakinankaratra,Antananarivo
Soanindrariny,Antsirabe II,Vakinankaratra,Antananarivo
Ambatomena,Antsirabe II,Vakinankaratra,Antananarivo
Ambohibary,Antsirabe II,Vakinankaratra,Antananarivo
Mandrosohasina,Antsirabe II,Vakinankaratra,Antananarivo
Tsarahonenana Sahanivotry,Antsirabe II,Vakinankaratra,Antananarivo
Antanambao,Antsirabe II,Vakinankaratra,Antananarivo
Mandoto,Mandoto,Vakinankaratra,Antananarivo
Betsohana,Mandoto,Vakinankaratra,Antananarivo
Antanambao Ambary,Mandoto,Vakinankaratra,Antananarivo
Anjoma Ramartina,Mandoto,Vakinankaratra,Antananarivo
Ankazomiriotra,Mandoto,Vakinankaratra,Antananarivo
Fidirana,Mandoto,Vakinankaratra,Antananarivo
Behenjy,Ambatolampy,Vakinankaratra,Antananarivo
Antsampandrano,Ambatolampy,Vakinankaratra,Antananarivo
Antanamalaza,Ambatolampy,Vakinankaratra,Antananarivo
Antakasina,Ambatolampy,Vakinankaratra,Antananarivo
Tsinjoarivo,Ambatolampy,Vakinankaratra,Antananarivo
Ampahimanga,Arivonimamo,Itasy,Antananarivo
Amboanana,Arivonimamo,Itasy,Antananarivo
Morafeno,Arivonimamo,Itasy,Antananarivo
Imerintsiatosika,Arivonimamo,Itasy,Antananarivo
Morarano,Arivonimamo,Itasy,Antananarivo
Mahatsinjo Est,Arivonimamo,Itasy,Antananarivo
Marofangady,Arivonimamo,Itasy,Antananarivo
Rambolamasoandro Andranomiely,Arivonimamo,Itasy,Antananarivo
Ambohimandry,Arivonimamo,Itasy,Antananarivo
Antambolo,Arivonimamo,Itasy,Antananarivo
Ambatomirahavavy,Arivonimamo,Itasy,Antananarivo
Ambatomanga,Arivonimamo,Itasy,Antananarivo
Manalalondo,Arivonimamo,Itasy,Antananarivo
Antenimbe,Arivonimamo,Itasy,Antananarivo
Alakamisikely,Arivonimamo,Itasy,Antananarivo
Analavory,Miarinarivo,Itasy,Antananarivo
Alatsinainikely,Miarinarivo,Itasy,Antananarivo
Mandiavato,Miarinarivo,Itasy,Antananarivo
Anosibe Ifanja,Miarinarivo,Itasy,Antananarivo
Sarobaratra Ifanja,Miarinarivo,Itasy,Antananarivo
Miarinarivo II,Miarinarivo,Itasy,Antananarivo
Ambatomanjaka,Miarinarivo,Itasy,Antananarivo
Manazary,Miarinarivo,Itasy,Antananarivo
Antoby Est,Miarinarivo,Itasy,Antananarivo
Soamahamanina,Miarinarivo,Itasy,Antananarivo
Vasiana,Mandoto,Vakinankaratra,Antananarivo
Vinany,Mandoto,Vakinankaratra,Antananarivo
Arivonimamo I,Arivonimamo,Itasy,Antananarivo
Arivonimamo II,Arivonimamo,Itasy,Antananarivo
Ambohitrambo,Arivonimamo,Itasy,Antananarivo
Ambohimasina,Arivonimamo,Itasy,Antananarivo
Ambohipandrano,Arivonimamo,Itasy,Antananarivo
Miandrandra,Arivonimamo,Itasy,Antananarivo
Miantsoarivo,Arivonimamo,Itasy,Antananarivo
Miarinarivo I,Miarinarivo,Itasy,Antananarivo
Ampary,Soavinandriana,Itasy,Antananarivo
Mananasy,Soavinandriana,Itasy,Antananarivo
Masindray,Soavinandriana,Itasy,Antananarivo
Amparibohitra,Soavinandriana,Itasy,Antananarivo
Ampefy,Soavinandriana,Itasy,Antananarivo
Antanetibe,Soavinandriana,Itasy,Antananarivo
Amparaky,Soavinandriana,Itasy,Antananarivo
Amberomanga,Soavinandriana,Itasy,Antananarivo
Ankaranana,Soavinandriana,Itasy,Antananarivo
Mahavelona,Soavinandriana,Itasy,Antananarivo
Zoma Bealoka,Miarinarivo,Itasy,Antananarivo
Soavimbazaha,Miarinarivo,Itasy,Antananarivo
Andolofotsy,Miarinarivo,Itasy,Antananarivo
Soavinandriana,Soavinandriana,Itasy,Antananarivo
Dondona,Soavinandriana,Itasy,Antananarivo
Ankisabe,Soavinandriana,Itasy,Antananarivo
Ambatoasana Centre,Soavinandriana,Itasy,Antananarivo
Tamponala,Soavinandriana,Itasy,Antananarivo
Tsiroanomandidy Ville,Tsiroanomandidy,Bongolava,Antananarivo
Tsiroanomandidy Fihaonana,Tsiroanomandidy,Bongolava,Antananarivo
Ambatolampy,Tsiroanomandidy,Bongolava,Antananarivo
Maritampona,Tsiroanomandidy,Bongolava,Antananarivo
Bevato,Tsiroanomandidy,Bongolava,Antananarivo
Ankadinondry Sakay,Tsiroanomandidy,Bongolava,Antananarivo
Ankerana Avaratra,Tsiroanomandidy,Bongolava,Antananarivo
Miandrarivo,Tsiroanomandidy,Bongolava,Antananarivo
Tsinjoarivo Imanga,Tsiroanomandidy,Bongolava,Antananarivo
Soanierana,Tsiroanomandidy,Bongolava,Antananarivo
Anosy,Tsiroanomandidy,Bongolava,Antananarivo
Ambararatabe,Tsiroanomandidy,Bongolava,Antananarivo
Tanana Ambany,Fianarantsoa I,Matsiatra Ambony,Fianarantsoa
Andrainjato Avaratra,Fianarantsoa I,Matsiatra Ambony,Fianarantsoa
Andrainjato Sud,Fianarantsoa I,Matsiatra Ambony,Fianarantsoa
Manolafaka,Fianarantsoa I,Matsiatra Ambony,Fianarantsoa
Lalazana,Fianarantsoa I,Matsiatra Ambony,Fianarantsoa
Belobaka,Tsiroanomandidy,Bongolava,Antananarivo
Vatosola,Fianarantsoa I,Matsiatra Ambony,Fianarantsoa
Ambalanirana,Tsiroanomandidy,Bongolava,Antananarivo
Ambalavao,Ambalavao,Matsiatra Ambony,Fianarantsoa
Mahasolo,Tsiroanomandidy,Bongolava,Antananarivo
Manamisoa,Ambalavao,Matsiatra Ambony,Fianarantsoa
Bemahatazana,Tsiroanomandidy,Bongolava,Antananarivo
Iarintsena,Ambalavao,Matsiatra Ambony,Fianarantsoa
Fierenana,Tsiroanomandidy,Bongolava,Antananarivo
Ambohimandroso,Ambalavao,Matsiatra Ambony,Fianarantsoa
Tsinjoarivo 22,Fenoarivobe,Bongolava,Antananarivo
Mahajeby,Fenoarivobe,Bongolava,Antananarivo
Ambohitromby,Fenoarivobe,Bongolava,Antananarivo
Ambatomainty Atsimo,Fenoarivobe,Bongolava,Antananarivo
Tanana Ambony,Fianarantsoa I,Matsiatra Ambony,Fianarantsoa
Andrainjato,Ambalavao,Matsiatra Ambony,Fianarantsoa
Anjoma,Ambalavao,Matsiatra Ambony,Fianarantsoa
Kirano,Ambalavao,Matsiatra Ambony,Fianarantsoa
Sendrisoa,Ambalavao,Matsiatra Ambony,Fianarantsoa
Besoa,Ambalavao,Matsiatra Ambony,Fianarantsoa
Maroharona,Tsiroanomandidy,Bongolava,Antananarivo
Fenoarivo Centre,Fenoarivobe,Bongolava,Antananarivo
Firavahana,Fenoarivobe,Bongolava,Antananarivo
Morarano Maritampona,Fenoarivobe,Bongolava,Antananarivo
Kiranomena,Fenoarivobe,Bongolava,Antananarivo
Mahazony,Ambalavao,Matsiatra Ambony,Fianarantsoa
Ambinanindovoka,Ambalavao,Matsiatra Ambony,Fianarantsoa
Ankaramena,Ambalavao,Matsiatra Ambony,Fianarantsoa
Ambinaniroa,Ambalavao,Matsiatra Ambony,Fianarantsoa
Ambohimahamasina,Ambalavao,Matsiatra Ambony,Fianarantsoa
Miarinarivo,Ambalavao,Matsiatra Ambony,Fianarantsoa
Vohitsaoka,Ambalavao,Matsiatra Ambony,Fianarantsoa
Ankerana,Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Manandroy,Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Ambalakindresy,Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Ambatosoa,Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Isaka,Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Vohitrarivo,Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Ambohinamboarina,Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Sahatona,Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Ankafina Tsarafidy,Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Sahave,Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Morafeno,Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Ikalalao,Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Vohiposa,Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Taindambo,Lalangina,Matsiatra Ambony,Fianarantsoa
Mahatsinjony,Lalangina,Matsiatra Ambony,Fianarantsoa
Sahambavy,Lalangina,Matsiatra Ambony,Fianarantsoa
Ambalamahasoa,Lalangina,Matsiatra Ambony,Fianarantsoa
Alakamisy Ambohimaha,Lalangina,Matsiatra Ambony,Fianarantsoa
Androy,Lalangina,Matsiatra Ambony,Fianarantsoa
Alatsinainy Ialamarina,Lalangina,Matsiatra Ambony,Fianarantsoa
Fandrandava,Lalangina,Matsiatra Ambony,Fianarantsoa
Ialananindro,Lalangina,Matsiatra Ambony,Fianarantsoa
Mahasoabe,Vohibato,Matsiatra Ambony,Fianarantsoa
Camp Robin,Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Befeta,Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Fiadanana,Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Ikalamavony,Ikalamavony,Matsiatra Ambony,Fianarantsoa
Mangidy,Ikalamavony,Matsiatra Ambony,Fianarantsoa
Tanamarina Bekisopa,Ikalamavony,Matsiatra Ambony,Fianarantsoa
Andrainjato Centre,Lalangina,Matsiatra Ambony,Fianarantsoa
Andrainjato Est,Lalangina,Matsiatra Ambony,Fianarantsoa
Ambalakely,Lalangina,Matsiatra Ambony,Fianarantsoa
Ivoamba,Lalangina,Matsiatra Ambony,Fianarantsoa
Vinanitelo,Vohibato,Matsiatra Ambony,Fianarantsoa
Alakamisy Itenina,Vohibato,Matsiatra Ambony,Fianarantsoa
Talata Ampano,Vohibato,Matsiatra Ambony,Fianarantsoa
Ihazoara,Vohibato,Matsiatra Ambony,Fianarantsoa
Ankaromalaza Mifanasoa,Vohibato,Matsiatra Ambony,Fianarantsoa
Vohimarina,Vohibato,Matsiatra Ambony,Fianarantsoa
Maneva,Vohibato,Matsiatra Ambony,Fianarantsoa
Vohitrafeno,Vohibato,Matsiatra Ambony,Fianarantsoa
Andranovorivato,Vohibato,Matsiatra Ambony,Fianarantsoa
Vohibato Ouest,Vohibato,Matsiatra Ambony,Fianarantsoa
Andranomiditra,Vohibato,Matsiatra Ambony,Fianarantsoa
Soaindrana,Vohibato,Matsiatra Ambony,Fianarantsoa
Mahaditra,Vohibato,Matsiatra Ambony,Fianarantsoa
Isorana,Isandra,Matsiatra Ambony,Fianarantsoa
Anjoma Itsara,Isandra,Matsiatra Ambony,Fianarantsoa
Andoharanomaitso,Isandra,Matsiatra Ambony,Fianarantsoa
Ambondrona,Isandra,Matsiatra Ambony,Fianarantsoa
Ambalamidera II,Isandra,Matsiatra Ambony,Fianarantsoa
Ankarinarivo Manirisoa,Isandra,Matsiatra Ambony,Fianarantsoa
Soatanana,Isandra,Matsiatra Ambony,Fianarantsoa
Solila,Ikalamavony,Matsiatra Ambony,Fianarantsoa
Ambatomainty,Ikalamavony,Matsiatra Ambony,Fianarantsoa
Fitampito,Ikalamavony,Matsiatra Ambony,Fianarantsoa
Tanamarina Sakay,Ikalamavony,Matsiatra Ambony,Fianarantsoa
Tsitondroina,Ikalamavony,Matsiatra Ambony,Fianarantsoa
Ankazoambo,Ambositra,Amoron'i Mania,Fianarantsoa
Ivony Miaramiasa,Ambositra,Amoron'i Mania,Fianarantsoa
Andina,Ambositra,Amoron'i Mania,Fianarantsoa
Imerina Imady,Ambositra,Amoron'i Mania,Fianarantsoa
Ivato,Ambositra,Amoron'i Mania,Fianarantsoa
Nasandratrony,Isandra,Matsiatra Ambony,Fianarantsoa
Mahazoarivo,Isandra,Matsiatra Ambony,Fianarantsoa
Fanjakana,Isandra,Matsiatra Ambony,Fianarantsoa
Iavonomby Vohibola,Isandra,Matsiatra Ambony,Fianarantsoa
Ambatofinandrahana,Ambatofinandrahana,Amoron'i Mania,Fianarantsoa
Ambalamanakana,Ambositra,Amoron'i Mania,Fianarantsoa
Ilaka Centre,Ambositra,Amoron'i Mania,Fianarantsoa
Ihadilanana,Ambositra,Amoron'i Mania,Fianarantsoa
Ambatofitorahana,Ambositra,Amoron'i Mania,Fianarantsoa
Antoetra,Ambositra,Amoron'i Mania,Fianarantsoa
Tsarasaotra,Ambositra,Amoron'i Mania,Fianarantsoa
Marosoa,Ambositra,Amoron'i Mania,Fianarantsoa
Fahizay,Ambositra,Amoron'i Mania,Fianarantsoa
Alakamisy Ambohijato,Ambositra,Amoron'i Mania,Fianarantsoa
Kianjandrakefina,Ambositra,Amoron'i Mania,Fianarantsoa
Itremo,Ambatofinandrahana,Amoron'i Mania,Fianarantsoa
Fenoarivo,Ambatofinandrahana,Amoron'i Mania,Fianarantsoa
Soavina,Ambatofinandrahana,Amoron'i Mania,Fianarantsoa
Ambondromisotra,Ambatofinandrahana,Amoron'i Mania,Fianarantsoa
Ambatomifanongoa,Ambatofinandrahana,Amoron'i Mania,Fianarantsoa
Mahazina Ambohipierenana,Ambositra,Amoron'i Mania,Fianarantsoa
Sahatsiho Ambohimanjaka,Ambositra,Amoron'i Mania,Fianarantsoa
Ambohimitombo I,Ambositra,Amoron'i Mania,Fianarantsoa
Ambohimitombo II,Ambositra,Amoron'i Mania,Fianarantsoa
Ambinanindrano,Ambositra,Amoron'i Mania,Fianarantsoa
Tsarazaza,Fandriana,Amoron'i Mania,Fianarantsoa
Tatamalaza,Fandriana,Amoron'i Mania,Fianarantsoa
Ankarinoro,Fandriana,Amoron'i Mania,Fianarantsoa
Sandrandahy,Fandriana,Amoron'i Mania,Fianarantsoa
Mahazoarivo,Fandriana,Amoron'i Mania,Fianarantsoa
